,distance_production,0,demand,transport_costs,size,leftover_demand,construction_costs,latitude,longitude,geometry
0,36.71735988917784,21.0,23725000.0,146348053.04628506,large,16425000.0,123600000.0,1001728.2238921379,6757546.931190041,POINT (1001728.2238921379 6757546.931190041)
1,74.14275107284891,13.0,8395000.0,64732553.10668293,large,1095000.0,123600000.0,455822.0319376157,6755140.192786436,POINT (455822.0319376157 6755140.192786436)
2,53.79014481557886,13.0,11315000.0,63298090.81318059,large,4015000.0,123600000.0,676918.5211836401,6952546.355513922,POINT (676918.5211836401 6952546.355513922)
3,33.95705139632666,12.0,10585000.0,34505797.34689131,large,3285000.0,123600000.0,745945.8730514802,6250827.833138122,POINT (745945.8730514802 6250827.833138122)
4,50.472111309927975,13.0,14965000.0,78552775.1583195,large,7665000.0,123600000.0,649305.5510963964,6505175.114259708,POINT (649305.5510963964 6505175.114259708)
5,30.311541128769385,30.0,36135000.0,262873809.28513962,large,28835000.0,123600000.0,416997.33108092536,6380339.774268841,POINT (416997.33108092536 6380339.774268841)
6,28.804000665596586,21.0,23725000.0,114806985.85293488,large,16425000.0,123600000.0,838798.8220563359,6509617.897565502,POINT (838798.8220563359 6509617.897565502)
7,45.57043464829184,6.0,7665000.0,16766274.315799532,large,365000.0,123600000.0,195128.08850336197,6809196.272737467,POINT (195128.08850336197 6809196.272737467)
8,42.22540940425384,9.0,6205000.0,18864623.905444443,large,0.0,123600000.0,659577.6654746505,6853104.198162763,POINT (659577.6654746505 6853104.198162763)
9,37.061410505772464,17.0,19345000.0,97505606.12784688,large,12045000.0,123600000.0,692777.0186509715,7047261.339750573,POINT (692777.0186509715 7047261.339750573)
10,50.68152111211635,3.0,4380000.0,5327641.499305671,large,0.0,123600000.0,557638.1917567773,6305200.737229742,POINT (557638.1917567773 6305200.737229742)
12,31.965721727738693,8.0,8760000.0,17921262.22943942,large,1460000.0,123600000.0,569553.0033025711,6909719.610068549,POINT (569553.0033025711 6909719.610068549)
13,49.014052583644734,22.0,23360000.0,201514415.2302936,large,16060000.0,123600000.0,713612.0255587448,6771460.397908747,POINT (713612.0255587448 6771460.397908747)
14,52.606802219032915,8.0,8395000.0,28264582.696242005,large,1095000.0,123600000.0,982858.6941292834,6864250.465988718,POINT (982858.6941292834 6864250.465988718)
15,43.34555136029093,11.0,11680000.0,44552291.51016143,large,4380000.0,123600000.0,384908.78227430675,6670932.162517672,POINT (384908.78227430675 6670932.162517672)
16,40.5418772224726,19.0,20075000.0,123709484.1566529,large,12775000.0,123600000.0,793236.6681746608,6881880.609576991,POINT (793236.6681746608 6881880.609576991)
17,65.43757089944164,5.0,4745000.0,12420050.956714025,large,0.0,123600000.0,935054.7963717151,6536873.356728665,POINT (935054.7963717151 6536873.356728665)
18,52.483075399689234,8.0,9125000.0,30650116.033418514,large,1825000.0,123600000.0,869199.5245291588,6306926.019768795,POINT (869199.5245291588 6306926.019768795)
19,43.33261899775086,9.0,9855000.0,30747093.136044104,large,2555000.0,123600000.0,470003.28904153634,6908669.034091038,POINT (470003.28904153634 6908669.034091038)
20,44.9456202537758,2.0,2920000.0,2099859.3782564052,large,0.0,123600000.0,582758.1620584693,6713086.34691371,POINT (582758.1620584693 6713086.34691371)
11,,,,,,,,340567.15842131915,6784127.054028082,POINT (340567.15842131915 6784127.054028082)
21,,,,,,,,877063.3862040848,6660812.626054073,POINT (877063.3862040848 6660812.626054073)
22,,,,,,,,443773.8849135883,6582732.28662703,POINT (443773.8849135883 6582732.28662703)
