,distance_production,0,demand,transport_costs,size,leftover_demand,construction_costs,latitude,longitude,geometry
0,63.31987613800279,63.0,66795000.0,2131643367.8254998,large,59495000.0,123600000.0,862218.9409925037,6544533.443381746,POINT (862218.9409925037 6544533.443381746)
1,42.53827829426792,22.0,28470000.0,213147401.81465414,large,21170000.0,123600000.0,583773.7014363826,6716824.986975808,POINT (583773.7014363826 6716824.986975808)
2,55.789447982792474,13.0,8030000.0,46590883.79938966,large,730000.0,123600000.0,418726.6301073624,6390780.377497612,POINT (418726.6301073624 6390780.377497612)
4,50.78133222907156,29.0,28835000.0,339712893.8394646,large,21535000.0,123600000.0,222537.4543604451,6802339.668183962,POINT (222537.4543604451 6802339.668183962)
5,61.39924504233284,34.0,39055000.0,652241724.1149001,large,31755000.0,123600000.0,894832.3717364578,6273621.029280861,POINT (894832.3717364578 6273621.029280861)
6,42.10640904251133,25.0,32850000.0,276639107.40929943,large,25550000.0,123600000.0,985033.0148728233,6822658.190928998,POINT (985033.0148728233 6822658.190928998)
7,78.73708479873827,11.0,12410000.0,85987195.5670061,large,5110000.0,123600000.0,400386.10148201196,6764728.059696762,POINT (400386.10148201196 6764728.059696762)
8,37.298464580354086,19.0,18615000.0,105535259.56082027,large,11315000.0,123600000.0,660575.4950397285,6853170.299469808,POINT (660575.4950397285 6853170.299469808)
9,78.99408197341228,4.0,2555000.0,6458556.142146188,large,0.0,123600000.0,509132.5684695363,6913255.4611256365,POINT (509132.5684695363 6913255.4611256365)
10,62.49486112031577,12.0,11315000.0,67884417.94333181,large,4015000.0,123600000.0,580431.6635126822,6288364.179795682,POINT (580431.6635126822 6288364.179795682)
11,59.55875014000819,16.0,14600000.0,111303392.26164731,large,7300000.0,123600000.0,403570.0325866343,6642560.384957044,POINT (403570.0325866343 6642560.384957044)
12,76.62876238761092,2.0,1825000.0,2237559.861718239,large,0.0,123600000.0,649305.5510963964,6505175.114259708,POINT (649305.5510963964 6505175.114259708)
3,,,,,,,,690015.2381212991,7034116.012827193,POINT (690015.2381212991 7034116.012827193)
13,,,,,,,,825808.8892060322,6340920.361302652,POINT (825808.8892060322 6340920.361302652)
14,,,,,,,,779294.0450244611,6847846.727243832,POINT (779294.0450244611 6847846.727243832)
