,year,costs_fix,profit_op_year,max_op_profit,cumsum_maxopprofit,cumsumwithgrowth_profit,total_profit,total_profit_cumsum
0,2030,248.0,25.773953342229248,208.94,208.94,25.773953342229248,-222.22604665777075,-222.22604665777075
1,2031,120.0,10.179680040753915,101.10000000000001,310.04,41.005328238060095,-78.99467176193991,-301.2207184197107
2,2032,120.0,10.666026187624148,101.10000000000001,411.14000000000004,59.70839876034402,-60.29160123965598,-361.51231965936665
3,2033,120.0,12.08780060297375,101.10000000000001,512.24,83.49904552034519,-36.50095447965481,-398.01327413902146
4,2034,108.0,15.024652883618783,87.14,599.38,114.88951132595163,6.889511325951631,-391.12376281306985
5,2035,75.0,17.119531968343317,48.75,648.13,154.52738751418147,79.52738751418147,-311.59637529888835
6,2036,75.0,18.623982710217934,48.75,696.88,203.43873817717898,128.43873817717898,-183.15763712170937
7,2037,53.0,17.533819299396907,29.775,726.655,260.846550159303,207.84655015930298,24.688913037593608
8,2038,45.0,15.26418251993983,22.875,749.53,327.23665651046616,282.23665651046616,306.9255695480598
9,2039,3.0,1.1351097912645605,1.525,751.055,392.5101509777821,389.5101509777821,696.4357205258418
