,year,costs_fix,profit_op_year,max_op_profit,cumsum_maxopprofit,cumsumwithgrowth_profit,total_profit,total_profit_cumsum
0,2030,232.0,27.180076147879507,195.46,195.46,27.180076147879507,-204.8199238521205,-204.8199238521205
1,2031,176.0,18.78093170463086,148.28,343.74,51.28830277749475,-124.71169722250525,-329.5316210746257
2,2032,176.0,20.84075729261836,148.28,492.02,82.18156741450208,-93.81843258549792,-423.35005366012365
3,2033,176.0,22.525231876737045,148.28,640.3,120.81438650448155,-55.18561349551845,-478.5356671556421
4,2034,176.0,24.962580761527445,148.28,788.5799999999999,169.45658702088738,-6.543412979112617,-485.0790801347547
5,2035,170.0,28.658017370782094,141.3,929.8799999999999,231.3280954477634,61.32809544776339,-423.7509846869913
6,2036,110.0,35.770092300897986,71.5,1001.3799999999999,312.43849445642303,202.43849445642303,-221.31249023056824
7,2037,110.0,37.59464114098058,71.5,1072.8799999999999,411.2710805108625,301.2710805108625,79.95859028029423
8,2038,106.0,40.62103040733254,68.05,1140.9299999999998,532.5012426983241,426.50124269832406,506.4598329786183
9,2039,66.0,33.432520685954046,33.55,1174.4799999999998,670.3040069531496,604.3040069531496,1110.763839931768
10,2040,66.0,32.971739547483025,33.55,1208.0299999999997,834.6553318634499,768.6553318634499,1879.4191717952178
