,points,size,score,2040_demand,year
0,POINT (349897.3828152193 6787126.496840154),large,28.472269028294257,6519.608713460531,2030
1,POINT (859374.1128636684 6509910.7609227905),large,28.125491125533827,6440.203161545237,2030
2,POINT (679889.884000003 6858774.466),large,25.49349444540339,5837.525922420905,2030
3,POINT (675647.5701007999 6864404.35065435),large,25.461620515642437,5830.227398021771,2030
4,POINT (501897.7601 6927171.4867),large,24.862708545910813,5693.087934616945,2030
5,POINT (698351.803000003 7037530.504),large,23.72593723558913,5432.788900050356,2030
6,POINT (839973.596000001 6628657.1),large,23.577885051752954,5398.887762532093,2030
7,POINT (486200.559 6773027.488),large,23.146897818653017,5300.199873712403,2030
8,POINT (690643.3864711503 7019124.534796845),large,22.71143898362324,5200.488072998794,2030
9,POINT (614082.9888316788 6761726.541422102),large,22.644672084502027,5185.199721485649,2030
10,POINT (719904.924000002 6968753.781),large,22.641052673529465,5184.370945131687,2030
11,POINT (1049056.96 6839493.468),large,22.076844567795035,5055.178007305207,2030
12,POINT (659085.7480051693 6920289.41876353),large,21.631984043658832,4953.313398392203,2030
13,POINT (708763.248999998 7068791.792),large,20.634569320081187,4724.924374801967,2030
14,POINT (599765.479999997 6639099.485),large,20.131771910139502,4609.793319679397,2030
15,POINT (862061.213600002 6520626.6209),large,20.072374965658526,4596.192547770201,2030
16,POINT (649787.475000001 6848773.905),large,20.026898268395207,4585.77924802782,2030
17,POINT (599912.829000004 6748732.623),large,19.954205787822165,4569.134050931793,2030
18,POINT (673509.858000003 6830124.517),large,19.632502968951552,4495.470216870328,2030
19,POINT (739544.2048799009 7026627.5834436845),large,19.438218648284035,4450.9827982998595,2030
20,POINT (859971.984999999 6689039.237),large,19.393832003257938,4440.819099811838,2030
21,POINT (728223.702 7036529.128),large,19.33143633849643,4426.531677925755,2030
22,POINT (662958.4835935201 6836972.910824938),large,19.134872177615485,4381.522219257043,2030
23,POINT (591974.50934426 6818201.661016393),large,18.65496920299477,4271.633554892302,2030
24,POINT (700156.240999997 6809061.188),large,18.588794187058085,4256.480733384277,2030
25,POINT (660289.9076411594 6857857.289335333),large,18.57776927993189,4253.956239094988,2030
26,POINT (1037986.7323 6862000.8656),large,18.54775835895264,4247.08430831487,2030
27,POINT (520296.548 6336643.539),large,17.785019105955826,4072.4315093056057,2030
28,POINT (586672.5282782376 6693065.425318996),large,17.737108084438265,4061.460795554402,2030
29,POINT (441578.1367520112 6583918.986697412),large,17.681208032909815,4048.660745700082,2030
30,POINT (439987.663999997 6388784.597),large,17.56725532783232,4022.5677410221847,2030
31,POINT (990076.5338749816 6720983.94190155),large,17.559191770420796,4020.721339560137,2030
32,POINT (777911.261 6797104.031),large,17.54982538164602,4018.5766144660806,2031
33,POINT (844982.456200004 6522772.2731),large,17.382741236898962,3980.3175194536143,2031
34,POINT (669951.358999997 6838557.931),large,17.16258291121752,3929.9054452691776,2031
35,POINT (412457.46066418686 6261769.38689495),large,17.16142416408035,3929.640114187743,2031
36,POINT (403591.59933980135 6666998.42243796),large,17.116570698750394,3919.3695227184267,2031
37,POINT (849736.7820062287 6508787.051463538),large,16.96871943886017,3885.514392966789,2031
38,POINT (688952.8134 7038366.2222),large,16.927511291508775,3876.078510063648,2031
39,POINT (841632.648999996 6658261.086),large,16.910611679165395,3872.208819882703,2031
40,POINT (939818.597999997 6538742.583),large,16.886443199913117,3866.6746972679002,2031
