,points,size,score,2040_demand,year
0,POINT (679889.884000003 6858774.466),large,19.961560948844614,18056.08204889042,2030
1,POINT (662958.4835935201 6836972.910824938),large,17.875320100863807,16168.98834808099,2030
2,POINT (673509.858000003 6830124.517),large,17.1351087100383,15499.4356191877,2030
3,POINT (675647.5701007999 6864404.35065435),large,16.699755945159787,15105.640501511156,2030
4,POINT (649787.475000001 6848773.905),large,15.911718536344482,14392.82710241735,2030
5,POINT (690643.3864711503 7019124.534796845),large,16.408501540119275,14842.188487513393,2030
6,POINT (678456.0496473283 7070835.253465537),large,11.465977593306498,10371.465073600082,2030
7,POINT (769500.3595684587 7020944.57801617),large,10.15685119599248,9187.304491026083,2030
8,POINT (739544.2048799009 7026627.5834436845),large,9.998810986314643,9044.350390378357,2030
9,POINT (501281.22640578763 6936322.927189239),large,8.84338955421957,7999.222495199266,2030
10,POINT (496174.15015623224 6937209.774486056),large,4.970699899463804,4496.209763110968,2030
11,POINT (1049056.96 6839493.468),large,19.091257714166666,17268.855706570266,2030
12,POINT (1037986.7323 6862000.8656),large,13.114070812714516,11862.235583487163,2030
13,POINT (719904.924000002 6968753.781),large,22.61397867863889,20455.306852994185,2030
14,POINT (659085.7480051693 6920289.41876353),large,18.115749174547364,16386.46668519572,2030
15,POINT (646246.3258655054 6981876.56139845),large,14.458932022637185,13078.719826025284,2030
16,POINT (859374.1128636684 6509910.7609227905),large,27.651745888820642,25012.181855072442,2030
17,POINT (844982.456200004 6522772.2731),large,15.44082006928622,13966.879383213916,2030
18,POINT (862061.213600002 6520626.6209),large,15.168732331289249,13720.764435872854,2030
19,POINT (840541.498000003 6499453.796),large,13.866101699738374,12542.479550088812,2030
20,POINT (868904.6083520895 6531508.0240899185),large,13.021020966109928,11778.068034204081,2030
21,POINT (849736.7820062287 6508787.051463538),large,12.790228247547883,11569.306190712881,2030
22,POINT (859834.549699999 6528995.51),large,12.524522476328155,11328.964004132287,2030
23,POINT (783290.2457199271 6551123.137159528),large,12.204655348814228,11039.630564030316,2030
24,POINT (836069.9934168435 6537823.007048808),large,11.834231812438645,10704.566698895822,2030
25,POINT (939818.597999997 6538742.583),large,11.251119649417584,10177.116912468991,2030
26,POINT (866183.9726774457 6890869.485112544),large,14.336546523179342,12968.016929319545,2030
