,points,size,score,2040_demand,year
72,POINT (929291.991999999 6848299.186),large,10.57523426933141,2558.650794362191,2033
73,POINT (881107.204000004 6269235.075),large,10.488332060960385,2537.625028046528,2033
74,POINT (953545.5384734094 6650860.972411644),large,10.438908162621017,2525.6670426699548,2033
75,POINT (1025458.0458593601 6767196.446200598),large,10.40960109151203,2518.5762720199937,2033
76,POINT (605349.0125994373 6650889.185449897),large,10.395985379443115,2515.28198542419,2034
77,POINT (879224.355999999 6669426.009),large,10.359504736248406,2506.455587416188,2034
78,POINT (885245.6023201136 6258021.079844634),large,10.282353211934996,2487.7889740870405,2034
79,POINT (527063.3781300201 6702010.000278359),large,10.253704552919192,2480.857504553474,2034
80,POINT (672766.1248840338 6871324.2248256),large,10.247640657433145,2479.3903606011836,2034
81,POINT (1048514.999709892 6851879.813630438),large,10.243149464509584,2478.3037279981754,2034
82,POINT (613899.156000003 6756127.696),large,10.229402745497957,2474.97774460876,2034
83,POINT (779657.152999997 6908999.79),large,10.164798018828206,2459.346796773166,2034
84,POINT (729306.718795252 6886795.584175491),large,10.134690996566603,2452.062479994583,2034
85,POINT (1033408.4951755098 6826824.318911789),large,9.95141449520859,2407.719200796736,2034
86,POINT (369219.263400003 6629305.6442),large,9.939384372425163,2404.8085434597774,2034
87,POINT (531571.781082089 6709619.615072762),medium,9.886826721808609,2392.0923547612583,2034
88,POINT (931761.3297718765 6897547.785432709),medium,9.767438185605654,2363.2066047898074,2034
89,POINT (766587.5942510221 6273400.903528495),medium,9.622575979372765,2328.157565722584,2034
90,POINT (560476.026000001 6278247.064),medium,9.545004140864153,2309.3892584524747,2034
91,POINT (794134.6009810872 6868184.934793283),medium,9.427657909305541,2280.997638848966,2035
92,POINT (680918.7429576089 6888742.923691978),medium,9.171140218036356,2218.9338416962855,2035
93,POINT (839123.7957482287 6388617.768478708),medium,9.106451657374905,2203.2826104415253,2035
94,POINT (456892.78800974553 6904396.904224117),medium,8.78540873657026,2125.607099580895,2035
95,POINT (556025.1022900285 6451859.451756583),medium,8.763782012558615,2120.374569202602,2035
96,POINT (359582.28477700596 6789229.654141751),medium,8.620388351536807,2085.680840880766,2035
97,POINT (851008.284000002 6328500.901),medium,8.380321965341386,2027.5973947749987,2035
98,POINT (460835.3112 6709200.4429),medium,8.368047366434409,2024.6275870672964,2035
99,POINT (549454.817000002 6917851.726),medium,8.313003284635572,2011.3098127246546,2035
100,POINT (422145.644000001 6782607.23),medium,8.297266323387124,2007.5022953331995,2035
101,POINT (908616.145999998 6499794.406),medium,8.274361074670075,2001.9604291832552,2035
102,POINT (689948.835100003 6868510.0232),medium,8.221318924916785,1989.1270171618764,2035
103,POINT (371193.91368503944 6786949.664126844),medium,8.203203569271805,1984.744053349377,2035
104,POINT (672570.430173239 7045946.925559072),medium,8.132256097244163,1967.5784945505561,2035
105,POINT (479459.175499998 6847452.7908),medium,8.065457702396783,1951.4167943285552,2035
106,POINT (792752.7275410116 6505014.510241165),medium,8.010748537936408,1938.1800523765226,2036
107,POINT (498052.3198798554 6622504.179505058),medium,8.000611102770504,1935.7273259517988,2036
108,POINT (187371.248000003 6779365.851),medium,7.9859593346167905,1932.1823682449015,2036
109,POINT (842115.318000004 6468996.873),medium,7.940870889206138,1921.2733345792278,2036
110,POINT (559779.0425317879 6917178.837185525),medium,7.919686332182151,1916.1477853689535,2036
111,POINT (699498.662584414 6229311.591250775),medium,7.875421890253898,1905.438117231372,2036
112,POINT (863366.2096736484 6696086.110112551),medium,7.826562092455184,1893.616614533072,2036
113,POINT (1038441.756 6299161.425),medium,7.81943441962841,1891.8920923829508,2036
114,POINT (272755.15104094736 6803740.121223204),medium,7.6415553039832265,1848.8546968080946,2036
115,POINT (800688.1795253659 6477704.524294777),medium,7.58305044613979,1834.6995965821568,2036
116,POINT (382261.6887855441 6783580.009860228),medium,7.388082392151893,1787.5275762271958,2036
117,POINT (391473.4446557655 6652703.97227159),medium,7.3772612559527815,1784.909430091932,2036
118,POINT (880490.88668103 6275246.376689471),medium,7.056441647986596,1707.2879491995243,2036
119,POINT (568043.1134893238 6906496.197306391),medium,6.843063635009865,1655.6616865089998,2036
120,POINT (804832.6260799819 6487797.238771416),medium,6.834792993565776,1653.6606260348906,2036
121,POINT (567671.063000001 6880553.655),medium,6.819844349172294,1650.0438398835954,2037
122,POINT (933808.0943615187 6904492.985991511),medium,6.8122093281553795,1648.196566140776,2037
123,POINT (931578.1596084866 6915957.690847023),medium,6.791297367690468,1643.1369709684604,2037
124,POINT (293755.52148114773 6773577.163402959),medium,6.682080549536538,1616.7122420773308,2037
125,POINT (408253.976899996 6413055.2517),small,6.342196706320139,1534.4782183868567,2037
126,POINT (709404.445 6538443.778),small,5.973764817153837,1445.3370682359275,2037
127,POINT (489525.839000002 6778842.209),small,5.970011214972403,1444.428893820246,2037
128,POINT (899857.255999997 6469324.563),small,5.929788852779442,1434.6971965022394,2037
129,POINT (211832.7711243066 6815795.860800471),small,5.610782350597732,1357.5143919017753,2037
130,POINT (340891.418099999 6279013.196),small,5.390901809926993,1304.3148593218186,2037
131,POINT (810772.761299998 6301571.5729),small,5.358093254350029,1296.3769134899878,2037
132,POINT (413602.0026648464 6426626.078513598),small,5.046480521466261,1220.9830123980137,2037
133,POINT (299665.35763875965 6825249.753644559),small,4.75663749272646,1150.8562353604473,2037
134,POINT (835243.5650926096 6557165.930811438),small,4.729254546798719,1144.2310018605922,2037
135,POINT (836617.5787561395 6527361.048969887),small,4.705285798725856,1138.4318247705532,2037
136,POINT (566762.751000002 6304538.84),small,4.689504312402348,1134.6135346514436,2038
137,POINT (242283.81429450176 6847447.813110253),small,4.663735771952295,1128.37890241419,2038
138,POINT (406841.112999998 6880057.559),small,4.626810246034036,1119.4448661728377,2038
139,POINT (840496.9015777197 6377353.396889129),small,4.534188491961775,1097.0352704516838,2038
140,POINT (970121.803000003 6558085.322),small,4.456119907628412,1078.1467768039759,2038
141,POINT (417832.45167814346 6688802.2401550105),small,4.434188626510251,1072.8405596152845,2038
142,POINT (163217.51716248304 6832120.496518834),small,4.346785337073877,1051.6935580216843,2038
143,POINT (655202.098999999 6577034.84),small,4.2852636748177995,1036.8085497095283,2038
144,POINT (849534.710000001 6283841.712),small,4.071469753834362,985.0816591440426,2038
145,POINT (666020.419764158 6427864.993357868),small,4.061517522229905,982.6737422457601,2038
146,POINT (848028.9753396729 6424350.864041383),small,4.0516114459303125,980.2769925050504,2038
147,POINT (472010.9433638747 6374290.5304704225),small,4.009613567987617,970.1157137075455,2038
148,POINT (360675.91958616755 6795753.298448378),small,3.946570494530412,954.8626038593691,2038
149,POINT (443732.598999999 6514435.119),small,3.9394277499430377,953.1344351354466,2038
150,POINT (840525.053999998 6283165.94),small,3.909334004293181,945.8533305990071,2038
151,POINT (399277.07325858664 6547101.75173973),small,3.88716000856892,940.4883892341998,2039
152,POINT (890198.5803158667 6458346.253259207),,3.7116332764631133,898.0201468202456,2039
153,POINT (492674.472000003 6841053.898),,3.6934949107091537,893.631615770925,2039
154,POINT (659328.3725327087 6425506.587850467),,3.576731155840245,865.3809249077964,2039
155,POINT (422157.339000002 6744758.156),,3.424765969162022,828.6133379487779,2039
156,POINT (402456.781000003 6709805.02),,3.4128528806866076,825.7309967623208,2039
157,POINT (767615.8368329911 6596659.81462762),,3.2395493105810558,783.8006426894736,2039
158,POINT (893417.8727927265 6479488.113857364),,3.221058983254557,779.3269554408456,2039
159,POINT (842124.413999997 6518250.563),,3.1879882786360185,771.3255833211061,2039
160,POINT (777383.7107150076 6555230.821046016),,3.06317108663897,741.1263840107445,2039
161,POINT (842391.670999996 6342118.54),,3.059283765869645,740.1858567258578,2039
162,POINT (438204.306999996 6642725.662),,3.0403551590546556,735.6061288796582,2039
163,POINT (837682.181000002 6368783.579),,2.9648495817493825,717.3377482054657,2039
164,POINT (770171.0670416438 6797223.846717605),,2.8881130515228506,698.7715416307221,2039
165,POINT (802031.0412215453 6872382.041930326),,2.8551890070685224,690.8056535613689,2039
166,POINT (918165.659229189 6501576.360539409),,2.535807620693613,613.5321466923505,2040
167,POINT (847309.6733381124 6442597.33440709),,2.52575981508686,611.1011059094648,2040
168,POINT (490617.3340132457 6618018.167228317),,1.9568330762242547,473.45074136423295,2040
169,POINT (446268.74953442893 6386388.447449178),,1.918756236806751,464.2381477761236,2040
170,POINT (755316.9530603444 6264921.562699239),,1.6920616281106704,409.38996892301117,2040
171,POINT (790247.1676065731 6290215.328861807),,1.6852872290187664,407.7509204465066,2040
172,POINT (564069.1203367221 6265521.733161067),,1.679079239276888,406.248913258778,2040
173,POINT (389522.693999998 6574717.949),,1.5751905642649073,381.1133149282981,2040
174,POINT (423029.39017254434 6255604.558867396),,1.5186164675552645,367.4253574041569,2040
175,POINT (805839.689999998 6309238.637),,1.4704249385446755,355.7655406242996,2040
176,POINT (516781.99014209316 6358773.947951271),,1.400366961629412,338.81519288538567,2040
177,POINT (688246.075000003 6169273.742),,1.2840566051329794,310.6742005950124,2040
178,POINT (761263.450999998 6281863.631),,1.1272199102251037,272.72796472060395,2040
179,POINT (528785.5475687049 6331548.799938178),,1.0084396802650564,243.98939288364994,2040
180,POINT (430014.776000001 6438722.999),,0.8295838559003956,200.71568514044776,2040
181,POINT (559712.895999998 6288370.263),,0.7127227002347276,172.44142840448336,
182,POINT (547481.6995726753 6330055.4701940995),,0.281321039627354,68.06490364008118,
183,POINT (702112.432861988 6329400.525550744),,0.0,0.0,
